consensus_rank,player,team,pos,consensus_avg,our_rank,yahoo_xrank,yahoo_adp,n_signals,z_adj
1,Victor Wembanyama,SAS,C,1.6,2,1,1.8,3,10.054
2,Nikola Jokic,DEN,C,2.57,3,2,2.7,3,10.004
3,Shai Gilgeous-Alexander,OKC,PG,3.7,1,4,6.1,3,10.396
4,Luka Doncic,LAL,"PG,SG",3.93,4,3,4.8,3,4.853
5,Tyrese Maxey,PHI,PG,7.37,5,6,11.1,3,4.128
6,Cade Cunningham,DET,"PG,SG",8.17,11,5,8.5,3,3.187
7,Anthony Edwards,MIN,"PG,SG",10.33,8,8,15.0,3,3.91
8,Jayson Tatum,BOS,"SF,PF",12.13,17,7,12.4,3,2.562
9,Karl-Anthony Towns,NYK,"C,PF",12.4,6,16,15.2,3,4.058
10,Cooper Flagg,DAL,"SG,SF,PF",12.67,14,13,11.0,3,2.881
11,Donovan Mitchell,CLE,"SG,PG",15.2,15,11,19.6,3,2.834
12,Chet Holmgren,OKC,"PF,C",16.7,10,19,21.1,3,3.481
13,Jalen Johnson,ATL,"PF,SF",17.47,26,10,16.4,3,2.132
14,Anthony Davis,WAS,"PF,C",17.63,7,21,24.9,3,3.953
15,Stephen Curry,GSW,PG,20.2,12,25,23.6,3,2.923
16,Kevin Durant,HOU,"SF,PF,SG",20.5,32,14,15.5,3,1.955
17,Tyrese Haliburton,IND,"PG,SG",20.73,28,12,22.2,3,2.096
18,Kawhi Leonard,TOR,"SG,SF,PF",21.0,25,18,20.0,3,2.152
19,Scottie Barnes,TOR,"SF,PF,C",21.37,35,15,14.1,3,1.621
20,Austin Reaves,LAL,"SG,PG,SF",21.47,18,24,22.4,3,2.511
21,Jamal Murray,DEN,PG,21.87,30,17,18.6,3,2.017
22,Devin Booker,PHX,"SG,PG",25.87,13,33,31.6,3,2.896
23,Giannis Antetokounmpo,MIA,"PF,C",26.43,58,9,12.3,3,0.328
24,Evan Mobley,CLE,"C,PF",27.8,19,32,32.4,3,2.492
25,LaMelo Ball,MIN,PG,27.83,41,20,22.5,3,1.101
26,Trey Murphy III,NOP,"SG,SF",28.93,21,30,35.8,3,2.447
27,Josh Giddey,CHI,"PG,SG",29.27,31,27,29.8,3,1.993
28,Trae Young,WAS,PG,29.53,40,22,26.6,3,1.105
29,Domantas Sabonis,SAC,"C,PF",29.73,20,34,35.2,3,2.45
30,Amen Thompson,HOU,"PG,SG",29.73,29,31,29.2,3,2.062
31,Walker Kessler,LAL,C,30.83,37,26,29.5,3,1.373
32,Jalen Brunson,NYK,PG,32.63,47,28,22.9,3,0.863
33,Alperen Sengun,HOU,"C,PF",32.8,57,23,18.4,3,0.43
34,Bam Adebayo,MIA,"C,PF",34.3,33,36,33.9,3,1.809
35,Derrick White,BOS,"SG,PG",35.97,24,39,44.9,3,2.167
36,James Harden,CLE,"SG,PG",36.47,36,35,38.4,3,1.571
37,Kyrie Irving,DAL,PG,36.57,16,45,48.7,3,2.759
38,Jalen Williams,OKC,"SF,PF",38.27,27,43,44.8,3,2.108
39,Joel Embiid,PHI,C,39.3,22,48,47.9,3,2.285
40,Jalen Duren,DET,C,39.77,59,29,31.3,3,0.323
41,Darius Garland,LAC,PG,44.77,23,53,58.3,3,2.202
42,Dyson Daniels,ATL,"SG,SF",44.97,9,63,62.9,3,3.878
43,Lauri Markkanen,UTA,"PF,SF",45.6,49,44,43.8,3,0.73
44,Jaren Jackson Jr,UTA,"C,PF",46.17,34,50,54.5,3,1.747
45,Desmond Bane,ORL,"SF,SG",47.23,38,49,54.7,3,1.301
46,Deni Avdija,POR,"SF,PF,SG",48.77,70,41,35.3,3,-0.016
47,Brandon Miller,CHA,"SF,PF",51.87,60,46,49.6,3,0.274
48,Onyeka Okongwu,ATL,C,53.3,46,57,56.9,3,0.991
49,Tyler Herro,MIL,"SG,PG",54.23,43,58,61.7,3,1.072
50,OG Anunoby,NYK,"SF,PF",55.13,44,60,61.4,3,1.044
51,Cameron Boozer,MEM,PF,57.53,45,65,62.6,3,1.022
52,Franz Wagner,ORL,"SF,PF",57.93,69,51,53.8,3,0.059
53,Kon Knueppel,CHA,"SF,SG",60.73,108,37,37.2,3,-1.003
54,Michael Porter Jr,BKN,"SF,PF",60.97,48,67,67.9,3,0.853
55,Pascal Siakam,IND,"PF,C",62.9,89,52,47.7,3,-0.485
56,Kel'el Ware,MIL,C,65.5,39,82,75.5,3,1.147
57,Donovan Clingan,POR,C,65.57,118,38,40.7,3,-1.209
58,Alex Sarr,WAS,C,66.27,82,56,60.8,3,-0.269
59,Dejounte Murray,NOP,PG,66.83,75,59,66.5,3,-0.107
60,Zach Edey,MEM,C,67.63,71,62,69.9,3,-0.025
61,Paul George,BOS,"SF,PF",68.27,50,75,79.8,3,0.687
62,Mikal Bridges,NYK,"SF,PF",68.33,56,73,76.0,3,0.486
63,Jaylen Brown,PHI,"SG,SF,PF",68.4,133,40,32.2,3,-1.573
64,Jaden McDaniels,MIN,SF,69.07,55,74,78.2,3,0.573
65,Keyonte George,UTA,"SG,PG",71.8,116,47,52.4,3,-1.131
66,Jarrett Allen,CLE,C,72.3,63,76,77.9,3,0.197
67,Nickeil Alexander-Walker,ATL,"PG,SG",73.13,105,55,59.4,3,-0.95
68,De'Aaron Fox,SAS,PG,73.4,54,84,82.2,3,0.586
69,Paolo Banchero,ORL,PF,73.83,130,54,37.5,3,-1.535
70,Matas Buzelis,CHI,"SF,PF",74.0,80,83,59.0,3,-0.249
71,LeBron James,PHI,"SF,PF",74.27,140,42,40.8,3,-1.776
72,Stephon Castle,SAS,"PG,SG",74.37,97,70,56.1,3,-0.81
73,Ivica Zubac,IND,C,74.47,87,68,68.4,3,-0.46
74,Payton Pritchard,BOS,PG,74.63,67,80,76.9,3,0.076
75,Naz Reid,CHA,"C,PF",75.27,100,61,64.8,3,-0.877
76,Damian Lillard,POR,PG,76.97,93,66,71.9,3,-0.634
77,Myles Turner,MIL,C,77.47,42,95,95.4,3,1.086
78,Ty Jerome,MEM,"SG,PG",77.9,51,87,95.7,3,0.678
79,Brandon Ingram,LAC,"SG,SF,PF",80.1,88,77,75.3,3,-0.478
80,Julius Randle,BKN,PF,80.7,114,64,64.1,3,-1.07
81,Zion Williamson,NOP,"PF,C",81.03,101,72,70.1,3,-0.898
82,Josh Hart,NYK,"SG,SF",82.27,53,97,96.8,3,0.59
83,VJ Edgecombe,PHI,"SG,PG",82.37,109,71,67.1,3,-1.022
84,Rudy Gobert,MIN,C,82.7,94,78,76.1,3,-0.649
85,Ausar Thompson,DET,"SF,PF,SG",82.93,66,92,90.8,3,0.09
86,Day'Ron Sharpe,BKN,C,84.6,74,88,91.8,3,-0.087
87,Nic Claxton,CHI,C,85.1,62,98,95.3,3,0.201
88,Kristaps Porzingis,GSW,C,87.67,52,105,106.0,3,0.66
89,Norman Powell,CHI,"SG,SF",91.6,90,91,93.8,3,-0.538
90,Coby White,CHA,"PG,SG",91.7,103,85,87.1,3,-0.922
91,Jalen Suggs,ORL,"PG,SG",96.4,79,102,108.2,3,-0.225
92,Immanuel Quickley,TOR,"PG,SG",99.9,111,90,98.7,3,-1.053
93,Caleb Wilson,CHI,PF,102.77,147,81,80.3,3,-2.091
94,Sandro Mamukelashvili,LAL,"PF,C",104.07,85,112,115.2,3,-0.384
95,Brook Lopez,LAC,C,104.3,96,139,77.9,3,-0.735
96,Ryan Rollins,MIL,"PG,SG",104.43,170,69,74.3,3,-2.554
97,Isaiah Hartenstein,OKC,C,104.47,112,99,102.4,3,-1.068
98,Fred VanVleet,HOU,PG,105.2,76,119,120.6,3,-0.123
99,Cam Johnson,DEN,"SF,PF",105.63,61,148,107.9,3,0.23
100,Ja Morant,POR,PG,105.73,137,89,91.2,3,-1.646
101,Jimmy Butler,GSW,"SF,PF",105.83,68,129,120.5,3,0.06
102,John Collins,DET,"PF,C",105.93,78,121,118.8,3,-0.192
103,Zach LaVine,SAC,"PG,SG,SF",106.1,73,125,120.3,3,-0.073
104,Dylan Harper,SAS,"SG,PG",107.7,165,79,79.1,3,-2.483
105,Ajay Mitchell,OKC,"PG,SG",107.9,72,142,109.7,3,-0.065
106,Mark Williams,PHX,C,107.9,125,96,102.7,3,-1.501
107,Jabari Smith Jr,HOU,"PF,C",108.17,115,111,98.5,3,-1.127
108,Toumani Camara,POR,"SF,PF",108.47,86,120,119.4,3,-0.388
109,Miles Bridges,PHX,PF,108.47,123,104,98.4,3,-1.456
110,AJ Dybantsa,WAS,SF,110.0,168,86,76.0,3,-2.528
111,Tari Eason,HOU,"SF,PF,SG",111.5,65,158,,2,0.104
112,Derik Queen,NOP,"C,PF",112.23,162,94,80.7,3,-2.462
113,Brandin Podziemski,GSW,"SG,PG",113.33,119,107,114.0,3,-1.247
114,PJ Washington,DAL,"PF,C",113.43,77,144,119.3,3,-0.191
115,Jrue Holiday,POR,"PG,SG",113.63,92,133,115.9,3,-0.625
116,Collin Murray-Boyles,TOR,"PF,C",114.63,95,128,120.9,3,-0.667
117,Cedric Coward,MEM,"SG,SF",115.83,139,108,100.5,3,-1.757
118,Keegan Murray,SAC,"SF,PF",116.53,110,118,121.6,3,-1.039
119,Saddiq Bey,NOP,"PF,SF",117.03,102,126,123.1,3,-0.913
120,Darryn Peterson,UTA,SG,118.37,169,93,93.1,3,-2.544
121,Cason Wallace,OKC,PG,119.7,91,154,114.1,3,-0.587
122,Reed Sheppard,HOU,"PG,SG",120.27,107,138,115.8,3,-0.977
123,CJ McCollum,ATL,"SG,PG",120.4,135,115,111.2,3,-1.602
124,Andrew Wiggins,MIA,"SG,SF,PF",120.7,143,109,110.1,3,-2.029
125,Collin Gillespie,PHX,"PG,SG",120.73,106,131,125.2,3,-0.959
126,Ayo Dosunmu,MIN,"PG,SG",120.77,155,101,106.3,3,-2.315
127,Kyshawn George,WAS,"SF,SG,PF",121.23,146,106,111.7,3,-2.085
128,Herb Jones,NOP,"SG,SF",121.5,64,179,,2,0.184
129,Aaron Gordon,DEN,"PF,C",122.37,99,156,112.1,3,-0.874
130,Christian Braun,DEN,"SG,SF,PF",122.83,83,167,118.5,3,-0.289
131,Paul Reed,DET,"C,PF",122.87,104,141,123.6,3,-0.946
132,Yaxel Lendeborg,GSW,PF,123.03,121,132,116.1,3,-1.311
133,Wendell Carter Jr,ORL,C,123.73,158,103,110.2,3,-2.372
134,Jalen Green,PHX,"SG,SF",123.77,138,124,109.3,3,-1.744
135,Aaron Nesmith,IND,SF,124.1,98,199,75.3,3,-0.872
136,Draymond Green,GSW,PF,124.23,113,147,112.7,3,-1.069
137,Daniel Gafford,DAL,C,124.77,142,134,98.3,3,-1.796
138,Peyton Watson,CLE,"SF,PF",125.93,149,113,115.8,3,-2.211
139,Anfernee Simons,PHI,SG,127.27,84,181,116.8,3,-0.316
140,Jakob Poeltl,TOR,C,128.6,128,136,121.8,3,-1.515
141,Bogdan Bogdanovic,HOU,SG,129.0,129,,,1,-1.516
142,Cam Thomas,FA,SG,132.0,132,,,1,-1.562
143,Shaedon Sharpe,POR,"PG,SG",132.07,136,146,114.2,3,-1.626
144,Devin Vassell,SAS,SG,134.07,124,161,117.2,3,-1.488
145,DeMar DeRozan,DEN,"SF,PF",134.27,164,122,116.8,3,-2.48
146,Andrew Nembhard,IND,"SG,PG",137.07,160,130,121.2,3,-2.422
147,Kyle Filipowski,UTA,C,137.7,127,166,120.1,3,-1.513
148,Kelly Oubre,IND,SF,138.2,159,145,110.6,3,-2.387
149,Deandre Ayton,WAS,C,139.77,141,160,118.3,3,-1.782
150,Nikola Vucevic,ORL,C,139.97,134,174,111.9,3,-1.586
151,Neemias Queta,BOS,C,141.27,219,100,104.8,3,-4.406
152,Quentin Grimes,LAL,"SG,SF",142.87,167,140,121.6,3,-2.5
153,Darius Acuff,SAC,PG,143.83,205,116,110.5,3,-3.726
154,RJ Barrett,TOR,"SF,PF,SG",144.07,198,123,111.2,3,-3.6
155,Jaime Jaquez Jr,MIL,"SF,SG,PF",145.4,214,117,105.2,3,-4.043
156,Kevin Porter Jr,MIL,"PG,SG",145.83,211,110,116.5,3,-3.878
157,Jerami Grant,MEM,"PF,SF",146.0,120,172,,2,-1.247
158,Julian Champagnie,SAS,"SF,PF",146.0,173,151,114.0,3,-2.703
159,Anthony Black,ORL,"PG,SG,SF",146.13,176,143,119.4,3,-2.813
160,Isaiah Stewart,MEM,"C,PF",146.77,171,157,112.3,3,-2.61
161,Bobby Portis,MIA,"PF,C",147.03,174,150,117.1,3,-2.73
162,Ace Bailey,UTA,SF,148.93,178,152,116.8,3,-2.883
163,Collin Sexton,LAL,PG,149.33,145,187,116.0,3,-2.084
