player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,adp,htag_rank,htag_total
Nikola Jokic,DEN,C,72.0,35.1,0.573,18.3,0.816,6.8,1.8,28.4,12.7,10.4,1.6,0.7,3.5,5.0,1.0,15.92
Victor Wembanyama,SA,"PF,C",66.0,30.4,0.502,18.3,0.831,6.1,2.2,25.6,11.8,3.6,1.1,3.2,2.9,2.7,2.0,14.35
Shai Gilgeous-Alexander,OKC,PG,71.0,33.5,0.534,20.7,0.889,8.9,1.9,32.1,4.7,6.5,1.6,0.9,2.3,11.6,3.0,14.12
Luka Doncic,LAL,"PG,SG",68.0,35.4,0.465,22.9,0.781,9.6,4.0,32.7,8.7,8.8,1.7,0.5,4.0,8.8,4.0,10.88
Giannis Antetokounmpo,MIA,"PF,C",69.0,34.2,0.608,19.9,0.628,11.0,0.3,31.4,11.9,6.5,1.0,1.1,3.3,23.9,5.0,10.3
Cade Cunningham,DET,"PG,SG",68.0,33.9,0.466,19.7,0.826,5.6,2.0,25.0,5.8,9.8,1.3,0.8,4.1,15.6,6.0,7.76
Jayson Tatum,BOS,"SF,PF",68.0,33.7,0.464,19.4,0.815,5.8,3.3,26.1,8.8,6.1,1.2,0.5,2.8,22.0,7.0,7.66
Anthony Edwards,MIN,"PG,SG",74.0,35.3,0.487,20.0,0.818,6.6,3.7,28.7,5.6,3.5,1.2,0.7,3.0,32.1,8.0,7.57
Tyrese Maxey,PHI,PG,70.0,36.1,0.458,18.2,0.885,5.2,2.8,24.2,3.4,5.8,1.8,0.5,2.2,19.7,9.0,7.54
Stephen Curry,GS,PG,60.0,31.6,0.456,18.3,0.929,4.6,4.4,25.4,3.6,5.2,1.0,0.4,2.9,22.2,10.0,7.48
Kevin Durant,HOU,"SG,SF,PF",70.0,34.6,0.523,16.8,0.86,5.6,2.3,24.7,5.4,4.3,0.8,1.0,2.9,12.8,11.0,7.22
Anthony Davis,WAS,"PF,C",65.0,31.1,0.514,16.8,0.767,6.1,0.6,22.5,10.9,3.2,1.1,1.9,2.1,22.4,12.0,7.19
Donovan Mitchell,CLE,"PG,SG",72.0,33.4,0.464,20.1,0.846,5.8,3.3,26.9,4.7,5.4,1.5,0.3,2.6,37.6,13.0,6.79
Tyrese Haliburton,IND,"PG,SG",63.0,30.9,0.467,13.0,0.852,2.8,2.8,17.3,3.3,9.6,1.3,0.6,1.5,41.8,14.0,6.51
Jamal Murray,DEN,"PG,SG",73.0,34.8,0.478,17.2,0.887,4.4,2.8,23.2,4.1,6.5,1.1,0.4,2.1,16.0,15.0,6.5
Karl-Anthony Towns,NY,"PF,C",73.0,31.3,0.514,14.7,0.844,5.4,1.7,21.3,11.8,2.9,0.9,0.6,2.5,12.6,16.0,6.43
Cooper Flagg,DAL,"PG,SG,SF",72.0,34.1,0.475,18.5,0.836,5.3,1.3,23.3,7.3,4.9,1.3,1.0,2.2,10.9,17.0,6.35
Jalen Johnson,ATL,"SF,PF",72.0,35.1,0.482,16.8,0.786,4.7,1.5,21.4,10.2,6.9,1.4,0.6,3.3,29.1,18.0,6.34
Kawhi Leonard,TOR,"SF,PF",65.0,31.1,0.491,17.5,0.872,5.0,2.2,23.7,5.0,3.0,1.7,0.4,1.9,17.2,19.0,6.34
Trae Young,WAS,PG,70.0,33.4,0.436,16.0,0.868,7.1,2.7,22.8,2.9,10.8,1.1,0.2,4.3,23.0,20.0,6.08
