player,team,pos,rank,value,rank_avg,value_avg,gp,mpg,pts,reb,ast,stl,blk,tpm,tov,fg_pct,fga,ft_pct,fta,z_pts,z_reb,z_ast,z_stl,z_blk,z_tpm,z_fgpct,z_ftpct,z_tov
Victor Wembanyama,SAS,C,1,13.3154,1,12.827,65,31.5,25.0,11.5,3.3,1.1,3.25,2.0,2.5,0.506,17.2,0.836,6.7,1.854,2.882,0.042,0.605,6.626,0.523,0.964,1.089,-1.268
Nikola Jokić,DEN,C,2,13.2244,2,12.6687,65.5,35.0,27.7,12.6,10.3,1.45,0.8,1.733,3.6,0.567,18.02,0.818,6.76,2.346,3.405,3.847,1.76,0.613,0.223,3.252,0.616,-2.838
Shai Gilgeous-Alexander,OKC,PG,3,12.6875,3,11.3961,67.6,33.2,30.526,4.65,6.296,1.53,0.841,1.773,2.232,0.538,19.68,0.883,8.58,2.995,-0.049,1.786,2.177,0.78,0.338,2.468,3.21,-1.017
Luka Dončić,LAL,PG,4,7.8773,4,8.8848,61.0,35.8,34.0,8.168,8.667,1.675,0.529,4.085,3.88,0.473,23.51,0.782,9.81,3.022,1.194,2.639,2.114,-0.15,2.674,-0.216,-0.544,-2.855
Tyrese Maxey,PHI,PG,5,7.4955,7,6.0571,69.5,36.0,24.35,3.85,5.8,1.4,0.45,2.8,2.05,0.466,18.25,0.892,5.1,2.03,-0.364,1.603,1.877,-0.186,1.691,-0.478,2.161,-0.839
Kawhi Leonard,LAC,SF/SG,6,7.4378,5,7.1425,65,31.5,24.491,5.953,3.36,1.672,0.466,2.33,1.858,0.498,17.71,0.876,5.19,1.768,0.443,0.074,2.438,-0.223,0.911,0.697,1.703,-0.373
Jayson Tatum,BOS,PF/SF,7,7.1098,6,6.1145,68,35.0,28.642,9.044,6.061,1.17,0.483,3.617,2.803,0.445,21.99,0.819,6.65,2.696,1.986,1.678,1.001,-0.126,2.62,-1.521,0.647,-1.871
Jamal Murray,DEN,PG,8,6.9522,9,5.8892,67.9,34.5,24.868,4.366,6.727,1.041,0.455,3.045,2.229,0.479,18.38,0.882,4.78,2.02,-0.169,2.047,0.565,-0.201,1.911,0.044,1.764,-1.029
Karl-Anthony Towns,NYK,C/PF,9,6.8098,13,5.4821,68.9,32.5,21.8,11.4,3.0,0.9,0.62,1.85,2.48,0.517,14.8,0.861,5.4,1.53,3.136,-0.024,0.135,0.246,0.475,1.227,1.53,-1.445
Kevin Durant,HOU,PF/SF,10,6.5056,19,4.9085,70,34.6,26.462,5.585,4.512,0.79,0.982,2.459,3.145,0.511,18.55,0.856,5.9,2.447,0.471,0.881,-0.195,1.231,1.285,1.328,1.563,-2.505
Cooper Flagg,DAL,PG/SF/SG,11,6.4248,11,5.6132,67.0,34.3,24.042,7.203,5.178,1.356,1.017,1.257,2.457,0.486,18.72,0.836,5.48,1.816,1.089,1.137,1.557,1.208,-0.306,0.324,0.912,-1.312
Anthony Edwards,MIN,PG/SG,12,6.363,10,5.8318,66.0,34.9,29.057,5.38,4.203,1.318,0.726,3.611,2.907,0.477,20.72,0.817,6.95,2.62,0.229,0.563,1.369,0.445,2.483,-0.034,0.586,-1.899
Donovan Mitchell,CLE,PG/SG,13,6.2623,14,5.475,67.2,34.0,26.773,4.5,5.5,1.45,0.28,3.255,2.6,0.468,19.84,0.851,5.83,2.307,-0.129,1.324,1.882,-0.658,2.126,-0.418,1.356,-1.529
Scottie Barnes,TOR,PF/SF,14,5.9281,20,4.6727,69.0,32.4,18.59,7.617,5.974,1.37,1.256,1.044,2.617,0.492,14.62,0.797,3.98,0.962,1.382,1.68,1.743,1.912,-0.526,0.426,0.006,-1.657
Tyrese Haliburton,IND,PG/SG,15,5.7764,8,5.9859,63,33.0,17.996,3.688,8.382,1.296,0.647,2.741,1.647,0.478,13.33,0.848,2.97,0.572,-0.602,2.637,1.105,0.174,1.295,-0.006,0.61,-0.009
Cade Cunningham,DET,PG,16,5.5773,17,5.2645,65.1,32.9,25.689,5.677,9.661,1.273,0.775,2.116,3.726,0.469,19.98,0.829,5.82,1.977,0.326,3.471,1.167,0.539,0.662,-0.355,0.775,-2.985
Jalen Johnson,ATL,PF/SF,17,5.4057,18,5.1227,65,33.2,21.237,10.014,7.286,1.298,0.584,1.581,3.036,0.499,16.01,0.785,4.67,1.215,2.229,2.186,1.241,0.067,0.03,0.685,-0.231,-2.016
Amen Thompson,HOU,PG/SG,18,5.1095,25,3.8175,69.5,35.0,17.967,8.137,5.238,1.42,0.8,0.424,2.22,0.541,12.93,0.761,4.66,0.87,1.65,1.278,1.944,0.734,-1.296,1.751,-0.731,-1.091
Desmond Bane,ORL,PG/SG,19,5.0058,31,3.5073,70.4,32.9,20.44,4.744,4.609,1.084,0.453,2.247,2.158,0.482,15.23,0.899,3.9,1.369,0.086,0.953,0.842,-0.163,1.034,0.14,1.787,-1.042
Nickeil Alexander-Walker,ATL,PG/SG,20,4.8919,40,3.1921,71.8,30.7,19.6,3.574,3.502,1.232,0.541,3.142,1.822,0.454,14.74,0.876,3.5,1.284,-0.439,0.347,1.44,0.1,2.25,-0.778,1.275,-0.588
Kon Knueppel,CHA,SF/SG,21,4.6646,50,2.8087,72.5,32.5,19.413,5.687,3.598,0.773,0.275,3.472,1.984,0.489,13.69,0.864,2.96,1.285,0.614,0.425,-0.159,-0.615,2.723,0.335,0.924,-0.867
Donovan Clingan,POR,C,22,4.5114,36,3.3598,68.5,25.8,11.278,11.945,2.005,0.612,1.897,0.918,1.226,0.532,8.17,0.68,2.44,-0.371,3.361,-0.597,-0.856,3.55,-0.692,0.943,-1.244,0.416
James Harden,CLE,PG,23,4.4742,30,3.5365,68,34.5,20.2,5.0,8.0,1.1,0.45,2.65,3.05,0.43,14.07,0.872,6.25,1.198,0.126,2.769,0.767,-0.211,1.431,-1.418,2.044,-2.231
