player,team,pos,xrank,adp
Victor Wembanyama,SAS,C,1,1.6
Nikola Jokić,DEN,C,2,2.0
Luka Dončić,LAL,"PG,SG",3,3.7
Shai Gilgeous-Alexander,OKC,PG,4,4.4
Cade Cunningham,DET,"PG,SG",5,6.5
Giannis Antetokounmpo,MIA,"PF,C",9,8.5
Tyrese Maxey,PHI,PG,6,9.2
Anthony Edwards,MIN,"PG,SG",7,9.5
Cooper Flagg,DAL,"SG,SF,PF",13,10.0
Jayson Tatum,BOS,"SF,PF",8,10.4
Jalen Johnson,ATL,"SF,PF",10,12.5
Scottie Barnes,TOR,"SF,PF,C",14,13.9
Donovan Mitchell,CLE,"PG,SG",11,14.8
Karl-Anthony Towns,NYK,"PF,C",16,15.0
Kevin Durant,HOU,"SG,SF,PF",15,17.3
Tyrese Haliburton,IND,"PG,SG",12,17.8
Alperen Şengün,HOU,"PF,C",25,18.0
Jamal Murray,DEN,PG,17,20.2
Austin Reaves,LAL,"PG,SG,SF",20,21.9
Jalen Brunson,NYK,PG,29,22.5
Amen Thompson,HOU,"PG,SG",21,24.1
Stephen Curry,GSW,PG,26,24.5
Josh Giddey,CHI,"PG,SG",18,24.6
LaMelo Ball,MIN,PG,23,25.0
Chet Holmgren,OKC,"PF,C",27,26.3
Trae Young,WAS,PG,19,26.8
Kawhi Leonard,TOR,"SG,SF,PF",33,27.3
Devin Booker,PHX,"PG,SG",24,27.8
Jaylen Brown,PHI,"SG,SF,PF",31,28.5
Domantas Sabonis,SAC,"PF,C",22,29.5
Evan Mobley,CLE,"PF,C",28,30.2
Bam Adebayo,MIA,"PF,C",32,30.7
Paolo Banchero,ORL,PF,52,34.3
Jalen Duren,DET,C,36,35.3
James Harden,CLE,"PG,SG",30,36.1
Walker Kessler,LAL,C,37,36.2
Anthony Davis,WAS,"PF,C",44,37.2
Deni Avdija,POR,"SG,SF,PF",47,38.8
Kon Knueppel,CHA,"SG,SF",45,39.3
Trey Murphy III,NOP,"SG,SF",35,39.5
LeBron James,PHI,"SF,PF",42,39.6
Lauri Markkanen,UTA,"SF,PF",34,39.9
Donovan Clingan,POR,C,39,40.6
Jalen Williams,OKC,"SF,PF",38,42.9
Derrick White,BOS,"PG,SG",41,46.8
Brandon Miller,CHA,"SF,PF",40,47.2
Pascal Siakam,IND,"PF,C",62,48.8
Joel Embiid,PHI,C,59,50.7
Jaren Jackson Jr.,UTA,"PF,C",43,51.0
Kyrie Irving,DAL,PG,48,52.1
Desmond Bane,ORL,"SG,SF",46,53.1
