player,team,pos,xrank,adp
Nikola Jokic,DEN,C,1,
Victor Wembanyama,SAS,C,2,
Luka Doncic,LAL,"PG,SG",3,
Shai Gilgeous-Alexander,OKC,PG,4,
Cade Cunningham,DET,"PG,SG",5,
Tyrese Maxey,PHI,"PG,SG",6,
Anthony Edwards,MIN,"PG,SF,SG",7,
Jayson Tatum,BOS,"SF,PF",8,
Giannis Antetokounmpo,MIA,"PF,C",9,
Jalen Johnson,ATL,"PF,SF",10,
Donovan Mitchell,CLE,"PG,SG",11,
Tyrese Haliburton,IND,"PG,SG",12,
Cooper Flagg,DAL,"PF,SF,SG",13,
Kevin Durant,HOU,"PF,SF,SG",14,
Jamal Murray,DEN,PG,15,
Karl-Anthony Towns,NYK,"PF,C",16,
Scottie Barnes,TOR,"C,PF,SF,SG",17,
Austin Reaves,LAL,"PG,SF,SG",18,
Josh Giddey,CHI,"PG,SG,SF",19,
LaMelo Ball,MIN,PG,20,
Trae Young,WAS,PG,21,
Stephen Curry,GSW,PG,22,
James Harden,CLE,"PG,SG",23,
Trey Murphy III,NOP,"PF,SF,SG",24,
Jalen Duren,DET,C,25,
Devin Booker,PHX,"PG,SG",26,
Alperen Sengun,HOU,"C,PF",27,
Amen Thompson,HOU,"PG,SF,SG",28,
Evan Mobley,CLE,"PF,C",29,
Jalen Brunson,NYK,PG,30,
Chet Holmgren,OKC,"PF,C",31,
Brandon Miller,CHA,"PF,SF,SG",32,
Lauri Markkanen,UTA,"SF,PF",33,
Desmond Bane,ORL,"SG,SF",34,
Kon Knueppel,CHA,"SF,SG",35,
Kawhi Leonard,TOR,"PF,SF,SG",36,
Kyrie Irving,DAL,PG,37,
Jalen Williams,OKC,"PF,SF,SG",38,
Keyonte George,UTA,"PG,SG",39,
Derrick White,BOS,"PG,SG",40,
Walker Kessler,LAL,C,41,
Domantas Sabonis,SAC,"C,PF",42,
Bam Adebayo,MIA,"C,PF",43,
Anthony Davis,WAS,"PF,C",44,
LeBron James,PHI,"SF,PF",45,
Jaylen Brown,PHI,"PF,SF,SG",46,
Joel Embiid,PHI,C,47,
Jaren Jackson Jr.,UTA,"PF,C",48,
Deni Avdija,POR,"PF,SF,SG",49,
Michael Porter Jr.,BKN,"SF,PF",50,
Nickeil Alexander-Walker,ATL,"PG,SG",51,
Onyeka Okongwu,ATL,C,52,
OG Anunoby,NYK,"SF,PF",53,
Franz Wagner,ORL,"PF,SF",54,
Donovan Clingan,POR,C,55,
Pascal Siakam,IND,"C,PF,SF",56,
Darius Garland,LAC,PG,57,
Damian Lillard,POR,PG,58,
Tyler Herro,MIL,"PG,SG",59,
Dejounte Murray,NOP,"PG,SG",60,
Ryan Rollins,MIL,"PG,SG",61,
Paolo Banchero,ORL,"PF,SF",62,
Mikal Bridges,NYK,"PF,SF,SG",63,
Zach Edey,MEM,C,64,
Cameron Boozer,MEM,PF,65,
Ivica Zubac,IND,C,66,
Brandon Ingram,LAC,"SG,SF,PF",67,
Paul George,BOS,"PF,SF",68,
Dyson Daniels,ATL,"PG,SF,SG",69,
Coby White,CHA,"PG,SG",70,
De'Aaron Fox,SAS,"PG,SG",71,
Alex Sarr,WAS,"C,PF",72,
Payton Pritchard,BOS,"PG,SG",73,
Julius Randle,BKN,PF,74,
VJ Edgecombe,PHI,"PG,SG",75,
Stephon Castle,SAS,"PG,SG",76,
Kel'el Ware,MIL,C,77,
Ausar Thompson,DET,"PF,SF,SG",78,
Zion Williamson,NOP,"C,PF",79,
Jaden McDaniels,MIN,"PF,SF",80,
Naz Reid,CHA,"PF,C",81,
Matas Buzelis,CHI,"SF,PF",82,
Jarrett Allen,CLE,C,83,
Norman Powell,CHI,"SG,SF",84,
Rudy Gobert,MIN,C,85,
Cedric Coward,MEM,"SF,SG",86,
Caleb Wilson,CHI,"PF,SF",87,
Immanuel Quickley,TOR,"PG,SG",88,
Day'Ron Sharpe,BKN,C,89,
Jalen Suggs,ORL,"PG,SG",90,
Keegan Murray,SAC,"SF,PF",91,
Dylan Harper,SAS,"PG,SG",92,
Derik Queen,NOP,"C,PF",93,
Nic Claxton,CHI,C,94,
Zach LaVine,SAC,"PG,SF,SG",95,
Myles Turner,MIL,C,96,
Neemias Queta,BOS,C,97,
Isaiah Hartenstein,OKC,C,98,
Ty Jerome,MEM,"PG,SG",99,
Kristaps Porzingis,GSW,"PF,C",100,
Davion Mitchell,MIA,PG,101,
John Collins,DET,"PF,C",102,
Jabari Smith Jr.,HOU,"C,PF",103,
Brandin Podziemski,GSW,"PG,SG",104,
Ja Morant,POR,PG,105,
Josh Hart,NYK,"SF,SG",106,
Andrew Wiggins,MIA,"PF,SF,SG",107,
Ayo Dosunmu,MIN,"PG,SF,SG",108,
Miles Bridges,PHX,"SF,PF",109,
Jusuf Nurkic,UTA,C,110,
AJ Dybantsa,WAS,SF,111,
Andrew Nembhard,IND,"PG,SG",112,
Collin Murray-Boyles,TOR,"C,PF",113,
Khaman Maluach,PHX,C,114,
Peyton Watson,CLE,"SF,PF",115,
DeMar DeRozan,DEN,"PF,SF",116,
Collin Gillespie,PHX,"PG,SG",117,
Tre Jones,CHI,"PG,SG",118,
Cason Wallace,OKC,"PG,SF,SG",119,
Saddiq Bey,NOP,"SF,PF",120,
Fred VanVleet,HOU,"PG,SG",121,
Kevin Porter Jr.,MIL,"PG,SG",122,
Reed Sheppard,HOU,"PG,SG",123,
Jimmy Butler III,GSW,"PF,SF,SG",124,
Rui Hachimura,LAC,"SF,PF",125,
Anthony Black,ORL,"PG,SG,SF",126,
Jakob Poeltl,TOR,C,127,
Kelly Oubre Jr.,IND,"PF,SF,SG",128,
Ajay Mitchell,OKC,"PG,SG",129,
Toumani Camara,POR,"PF,SF",130,
Jrue Holiday,POR,"PG,SG",131,
CJ McCollum,ATL,"PG,SG",132,
Jaime Jaquez Jr.,MIL,"PF,SF,SG",133,
Darryn Peterson,UTA,"PG,SG",134,
Daniel Gafford,DAL,C,135,
Sandro Mamukelashvili,LAL,"PF,C",136,
Tari Eason,HOU,"PF,SF,SG",137,
Herbert Jones,NOP,"PF,SF,SG",138,
Yaxel Lendeborg,GSW,"PF,SF",139,
Jalen Green,PHX,"SF,SG",140,
Devin Vassell,SAS,"SG,SF",141,
Aaron Gordon,DEN,"PF,C",142,
RJ Barrett,TOR,"PF,SF,SG",143,
Moussa Diabate,CHA,"PF,C",144,
Bobby Portis Jr.,MIA,"PF,C",145,
Dereck Lively II,DAL,C,146,
Tobias Harris,SAS,"PF,SF",147,
Jonathan Kuminga,MIN,"PF,SF",148,
Bennedict Mathurin,NOP,"SG,SF",149,
Cameron Johnson,DEN,"PF,SF",150,
Kyshawn George,WAS,"PF,SF,SG",151,
Darius Acuff Jr.,SAC,PG,152,
Wendell Carter Jr.,ORL,C,153,
Pelle Larsson,MIA,"SG,SF",154,
Egor Demin,BKN,"PG,SG",155,
Dillon Brooks,PHX,"PF,SF,SG",156,
Draymond Green,GSW,"PF,C",157,
Scotty Pippen Jr.,MEM,"PG,SG",158,
Paul Reed,DET,"C,PF",159,
Aaron Nesmith,IND,"PF,SF,SG",160,
Al Horford,GSW,"PF,C",161,
Nikola Vucevic,ORL,C,162,
Mitchell Robinson,BOS,C,163,
Maxime Raynaud,SAC,C,164,
Christian Braun,DEN,"PF,SF,SG",165,
Mark Williams,PHX,C,166,
Kyle Kuzma,MIL,"SF,PF",167,
Jerami Grant,MEM,"SF,PF",168,
P.J. Washington Jr.,DAL,"C,PF,SF",169,
Robert Williams III,POR,C,170,
Brook Lopez,LAC,C,171,
Bradley Beal,LAC,"SF,SG",172,
Grayson Allen,CHA,"PG,SF,SG",173,
Deandre Ayton,WAS,C,174,
Daniss Jenkins,DET,"PG,SG",175,
Julian Champagnie,SAS,"PF,SF,SG",176,
Santi Aldama,DAL,"PF,SF",177,
Ace Bailey,UTA,"PF,SF",178,
Max Strus,LAC,"PF,SF",179,
Jake LaRavia,LAL,"SF,PF",180,
Scoot Henderson,POR,"PG,SG",181,
Oso Ighodaro,PHX,"C,PF",182,
Klay Thompson,MIA,"SG,SF",183,
De'Andre Hunter,SAC,"SF,PF",184,
