overall_pick,round,player,team,positions,drafted_by,slot
1,1,Victor Wembanyama,SAS,C,Manoof,1
2,1,Nikola Jokic,DEN,C,Deether,2
3,1,Luka Doncic,LAL,PG/SG,berkay,3
4,1,Shai Gilgeous-Alexander,OKC,PG,David,4
5,1,Cade Cunningham,DET,PG/SG,Emils,5
6,1,Jayson Tatum,BOS,SF/PF,jacespedes,6
7,1,Jalen Johnson,ATL,PF/SF,Dominic,7
8,1,Giannis Antetokounmpo,MIA,PF/C,Angel,8
9,1,Tyrese Haliburton,IND,PG/SG,Mark P,9
10,1,Anthony Edwards,MIN,PG/SG,Mantas,10
11,1,Cooper Flagg,DAL,SG/SF/PF,Adam,11
12,1,Tyrese Maxey,PHI,PG,Alex,12
13,2,Kevin Durant,HOU,SF/PF/SG,Alex,12
14,2,Alperen Sengun,HOU,C/PF,Adam,11
15,2,Karl-Anthony Towns,NYK,C/PF,Mantas,10
16,2,Stephen Curry,GSW,PG,Mark P,9
17,2,Scottie Barnes,TOR,SF/PF/C,Angel,8
18,2,Jamal Murray,DEN,PG,Dominic,7
19,2,Trae Young,WAS,PG,jacespedes,6
20,2,Donovan Mitchell,CLE,SG/PG,Emils,5
21,2,Kawhi Leonard,LAC,SG/SF/PF,David,4
22,2,Chet Holmgren,OKC,PF/C,berkay,3
23,2,LaMelo Ball,MIN,PG,Deether,2
24,2,Austin Reaves,LAL,SG/PG/SF,Manoof,1
25,3,Trey Murphy III,NOP,SG/SF,Manoof,1
26,3,Anthony Davis,WAS,PF/C,Deether,2
27,3,Josh Giddey,CHI,PG/SG,berkay,3
28,3,Walker Kessler,LAL,C,David,4
29,3,Amen Thompson,HOU,PG/SG,Emils,5
30,3,Jalen Duren,DET,C,jacespedes,6
31,3,James Harden,CLE,SG/PG,Dominic,7
32,3,Domantas Sabonis,SAC,C/PF,Angel,8
33,3,Jalen Brunson,NYK,PG,Mark P,9
34,3,Bam Adebayo,MIA,C/PF,Mantas,10
35,3,Evan Mobley,CLE,C/PF,Adam,11
36,3,Devin Booker,PHX,SG/PG,Alex,12
37,4,Jalen Williams,OKC,SF/PF,Alex,12
38,4,Kon Knueppel,CHA,SF/SG,Adam,11
39,4,Deni Avdija,POR,SF/PF/SG,Mantas,10
40,4,Derrick White,BOS,SG/PG,Mark P,9
41,4,Paolo Banchero,ORL,PF,Angel,8
42,4,Lauri Markkanen,UTA,PF/SF,Dominic,7
43,4,Jaylen Brown,PHI,SG/SF/PF,jacespedes,6
44,4,Donovan Clingan,POR,C,Emils,5
45,4,Desmond Bane,ORL,SF/SG,David,4
46,4,Brandon Miller,CHA,SF/PF,berkay,3
47,4,LeBron James,PHI,SF/PF,Deether,2
48,4,Tyler Herro,MIL,SG/PG,Manoof,1
49,5,Joel Embiid,PHI,C,Manoof,1
50,5,Kyrie Irving,DAL,PG,Deether,2
51,5,Jaren Jackson Jr.,UTA,C/PF,berkay,3
52,5,OG Anunoby,NYK,SF/PF,David,4
53,5,Franz Wagner,ORL,SF/PF,Emils,5
54,5,Pascal Siakam,IND,PF/C,jacespedes,6
55,5,Darius Garland,LAC,PG,Dominic,7
56,5,Dejounte Murray,NOP,PG,Angel,8
57,5,Julius Randle,BKN,PF,Mark P,9
58,5,Ivica Zubac,IND,C,Mantas,10
59,5,Cameron Boozer,MEM,PF,Adam,11
60,5,Keyonte George,UTA,SG/PG,Alex,12
61,6,Nickeil Alexander-Walker,ATL,PG/SG,Alex,12
62,6,Michael Porter Jr.,BKN,SF/PF,Adam,11
63,6,Mikal Bridges,NYK,SF/PF,Mantas,10
64,6,Onyeka Okongwu,ATL,C,Mark P,9
65,6,Zion Williamson,NOP,PF/C,Angel,8
66,6,Dyson Daniels,ATL,SG/SF,Dominic,7
