name,team,source_url,source_date,verified_on
Nikola Jokic,DEN,https://www.si.com/nba/nuggets/onsi/nuggets-might-be-one-bad-season-away-from-roster-overhaul,2026-07,2026-07-13
Victor Wembanyama,SAS,https://airalamo.com/spurs-projected-starting-lineup-depth-chart-after-flurry-offseason-moves,accessed 2026-07-13,2026-07-13
Shai Gilgeous-Alexander,OKC,https://www.si.com/nba/thunder/onsi/shai-gilgeous-alexander-dominance-for-canada-bodes-well-for-okc-thunder,accessed 2026-07-13,2026-07-13
Luka Doncic,LAL,https://www.espn.com/nba/story/_/id/49239780/los-angeles-lakers-overall-biggest-questions-lebron-james-luka-doncic-walker-kessler-nba-free-agency-offseason,accessed 2026-07-13,2026-07-13
Anthony Edwards,MIN,https://www.startribune.com/anthony-edwards-minnesota-timberwolves-roster-nba-draft-2026-news-giannis-antetokounmpo-miami-heat/601860491,accessed 2026-07-13,2026-07-13
Cade Cunningham,DET,https://ca.sports.yahoo.com/news/pistons-first-chance-see-cade-204648361.html,2026-07,2026-07-13
Jayson Tatum,BOS,https://www.nbcsportsboston.com/nba/boston-celtics/updated-roster-depth-chart-contracts-jaylen-brown-trade/794057/,accessed 2026-07-13,2026-07-13
Chet Holmgren,OKC,https://www.hoopsrumors.com/2026/06/thunder-rumors-holmgren-caruso-hartenstein-dort-more.html,accessed 2026-07-13,2026-07-13
Karl-Anthony Towns,NYK,https://www.si.com/nba/knicks/onsi/tracking-every-knicks-move-during-free-agency-and-2026-offseason-signings-losses-trades-more-01kwctg6ykfn,accessed 2026-07-13,2026-07-13
Giannis Antetokounmpo,MIA,https://www.espn.com/nba/story/_/id/49149967/bucks-trading-giannis-antetokounmpo-bobby-portis-heat-tyler-herro-kelel-ware-jaime-jaquez-jr-kasparas-jakucionis-picks,2026-07-06,2026-07-13
Domantas Sabonis,SAC,https://www.si.com/nba/kings/onsi/where-kings-stand-with-domantas-sabonis-trade-talks,accessed 2026-07-13,2026-07-13
Devin Booker,PHX,https://www.hoopsrumors.com/2026/07/suns-notes-booker-bridges-maluach-peat.html,2026-07 (accessed 2026-07-13),2026-07-13
Tyrese Maxey,PHI,https://www.usnews.com/news/sports/articles/2026-07-02/jaylen-brown-set-to-form-all-star-trio-with-joel-embiid-tyrese-maxey-in-philadelphia,2026-07-02,2026-07-13
Donovan Mitchell,CLE,https://bleacherreport.com/articles/25425835-cavaliers-active-roster-draft-class-2026-27-salary-info-and-free-agents-after-nba-draft-results,"2026-06/07 (post-draft, via search 2026-07-13)",2026-07-13
Bam Adebayo,MIA,https://www.espn.com/nba/player/_/id/4066261/bam-adebayo,accessed 2026-07-13,2026-07-13
Evan Mobley,CLE,https://bleacherreport.com/articles/25425835-cavaliers-active-roster-draft-class-2026-27-salary-info-and-free-agents-after-nba-draft-results,"2026-06/07 (post-draft, via search 2026-07-13)",2026-07-13
Scottie Barnes,TOR,https://www.si.com/nba/raptors/onsi/projecting-raptors-new-starting-lineup-kawhi-leonard-trade,accessed 2026-07-13,2026-07-13
Jalen Brunson,NYK,https://sports.yahoo.com/articles/sources-knicks-star-jalen-brunson-204500525.html,accessed 2026-07-13,2026-07-13
De'Aaron Fox,SAS,https://airalamo.com/spurs-projected-starting-lineup-depth-chart-after-flurry-offseason-moves,accessed 2026-07-13,2026-07-13
Trae Young,WAS,https://www.espn.com/nba/story/_/id/49145221/sources-trae-young-sign-4-year-212m-deal-wizards,ca. 2026-06-29,2026-07-13
